-2.3,0.53,5.11,3.69,3.51,0.25,4.236
-1.175,0.5388,4.34,2.81,3.15,0.3,9.7804
0.0,0.6,4.78,4.24,3.15,0.275,7.9595
-2.4,0.574,4.36,3.96,2.76,0.325,1.5865
-2.3,0.53,4.76,3.68,3.16,0.15,6.6262
-2.3,0.568,4.78,3.99,3.17,0.225,2.7129
-5.0,0.565,5.02,3.94,3.288,0.425,41.706
-2.3,0.53,5.11,3.69,3.51,0.25,4.236
-5.0,0.6,4.78,4.24,3.15,0.4,22.129
-5.0,0.6,4.78,4.24,3.15,0.2812,6.6405
-3.1,0.53,4.78,3.75,3.1925,0.375,15.2236
-2.3,0.549,4.78,3.99,3.17,0.375,12.8394
-5.0,0.565,4.77,3.99,3.15,0.15,-2.4331
0.0,0.53,5.14,4.95,3.17,0.35,12.5593
-2.3,0.6,5.1,4.17,3.51,0.3,7.3862
-5.0,0.6,4.779,4.0791,3.15,0.2909,5.4509
-5.0,0.565,4.9375,3.9567,3.15,0.225,0.3413
-2.4,0.574,4.36,3.96,2.76,0.35,-0.6211
-2.9455,0.53,4.78,3.75,3.15,0.2806,14.3931
-2.6556,0.53,4.6556,3.2938,3.223,0.3,6.5488
-5.0,0.562,4.907,3.94,3.17,0.4,20.1909
-2.3,0.53,4.7667,3.68,3.16,0.35,12.2227
-2.3,0.5658,4.8386,5.35,2.76,0.2,-1.5076
-2.3,0.53,4.76,3.68,3.16,0.15,6.6262
-2.4,0.574,4.36,3.96,2.76,0.325,1.5865
-5.0,0.565,4.77,3.99,3.15,0.2812,3.0421
-2.88,0.565,4.78,4.6925,2.76,0.375,18.6017
-2.2,0.546,4.78,4.13,3.07,0.425,41.388
-2.3,0.53,5.11,3.93,3.51,0.275,-0.3485
-2.3,0.5677,5.14,4.95,3.1327,0.225,3.3881
0.0,0.6,4.67,4.2375,3.15,0.2,3.323
0.0,0.5742,4.78,3.94,3.15,0.125,5.0364
-2.35,0.565,4.78,4.9433,2.76,0.25,0.8684
0.0,0.6,4.78,4.24,3.15,0.35,18.9455
-2.3,0.5762,5.1,3.95,3.5233,0.2857,2.9146
-2.3,0.5712,4.84,4.242,3.53,0.425,37.7616
0.0,0.5738,5.02,3.94,3.27,0.325,23.3265
0.0,0.53,4.78,3.75,3.15,0.2938,12.7131
-2.3,0.565,4.78,4.13,2.76,0.225,-0.4761
-2.4,0.565,4.78,5.35,2.916,0.325,12.3529
0.0,0.565,4.77,3.7688,3.15,0.35,19.5964
-2.3,0.53,5.11,3.85,3.51,0.15,-1.9768
-2.3,0.53,4.34,2.81,3.15,0.2531,16.5284
-2.3,0.562,5.14,4.95,3.17,0.3,10.3019
-2.0459,0.574,4.36,3.96,3.1,0.175,-0.8679
-2.3,0.568,4.78,3.99,3.17,0.125,-0.1891
-2.3,0.53,4.76,3.68,3.16,0.375,10.9097
-2.3909,0.5605,4.78,3.6318,3.15,0.3023,18.6016
-2.3,0.5533,5.105,4.17,3.51,0.175,1.3995
-2.1125,0.5501,4.34,3.2267,3.15,0.25,19.6736
-3.1545,0.53,4.78,3.75,3.15,0.2977,17.7912
-2.4,0.5787,4.78,3.99,3.1567,0.275,0.5431
-2.3,0.53,5.11,3.69,3.51,0.25,4.236
-2.3,0.568,4.78,3.99,3.17,0.275,2.2595
-1.82,0.5522,4.81,4.1617,3.214,0.2,0.7835
-2.4,0.5787,4.78,3.99,3.1567,0.275,0.5431
-2.3,0.5653,5.1,4.0564,3.4309,0.3182,15.6062
-2.3,0.53,5.11,3.69,3.51,0.25,4.236
