11.09,27.5632,134.9763,74.97,469.9775
23.87,60.27,1018.94,75.5341,442.3594
11.44,40.55,1023.37,66.7631,475.6437
18.0658,49.15,1021.42,56.15,464.5261
20.46,32.2887,158.4848,85.89,444.6815
9.53,38.38,152.7211,80.08,478.5746
26.85,69.84,1002.84,81.31,432.3493
10.8546,30.7958,150.7304,84.16,467.6152
13.58,39.28,1016.17,79.17,469.285
19.9706,45.08,1023.77,80.48,465.1922
19.7917,54.6621,1013.37,72.6344,458.8741
26.2,65.18,125.3393,33.9054,442.0154
14.39,40.35,76.4647,20.6956,466.7311
15.25,39.16,1016.18,66.3885,465.774
11.9592,58.62,167.7091,74.59,449.0706
19.3,26.7506,131.417,70.55,453.546
30.56,72.39,140.1047,37.8906,431.8288
11.26,39.35,1015.47,99.28,473.1244
13.0183,41.49,181.0797,97.59,469.8582
5.21,35.79,1012.44,94.35,488.1066
15.03,44.45,1020.94,65.57,465.3292
11.796,45.08,164.5758,82.93,462.7252
5.8333,47.43,83.0527,22.5475,458.7014
20.6278,40.6,1015.3,92.14,478.4204
31.71,45.7236,1010.63,40.17,434.7929
25.38,70.94,1007.87,79.1749,435.603
23.83,64.15,1020.93,63.86,448.1722
19.7134,39.04,1023.95,81.93,480.5784
13.76,32.1633,157.5433,87.27,464.6177
13.48,41.44,145.8857,71.46,468.5358
17.48,46.21,165.135,80.78,454.8781
25.11,56.89,1013.33,67.31,445.1981
11.6496,37.85,162.0904,86.8,471.563
23.36,62.52,1016.18,76.173,445.6699
28.78,48.2854,1014.54,49.03,437.8583
21.544,69.59,1009.13,82.15,438.4572
21.4756,59.4943,1009.52,88.67,443.6598
9.55,38.08,69.6793,18.8841,480.0897
17.07,41.35,1005.88,83.43,464.5274
3.21,38.44,1017.11,84.86,489.6275
18.4569,39.42,1024.58,67.3152,476.3382
12.91,40.73,1017.66,93.66,469.8371
12.969,41.96,180.4358,96.76,469.7335
12.29,40.71,1019.71,83.09,473.3007
22.95,67.79,1009.89,91.69,438.8018
29.09,75.33,1001.61,71.06,434.0265
9.6,42.03,173.0953,92.27,476.5139
19.8667,54.8693,1017.21,72.9097,458.2433
20.6871,58.46,1016.17,79.73,451.6695
21.63,55.9609,1009.44,76.89,444.9793
28.75,64.69,1007.1,60.37,436.2733
22.56,70.98,1005.66,78.7139,437.5092
7.2,1.275,6.5725,1.737,467.335
20.04,49.39,1020.62,78.84,457.8205
17.76,42.42,141.6023,66.26,462.8644
11.82,49.1622,1019.5,55.74,475.1098
18.22,44.34,1019.35,56.78,469.1211
21.97,58.95,175.245,76.95,445.4896
13.93,44.47,1025.35,81.54,467.8033
24.85,27.0963,133.3767,70.09,442.4721
20.34,46.63,1013.16,69.695,455.7051
13.78,39.85,1012.7,71.99,470.8008
24.43,67.25,1017.99,74.27,438.6855
31.42,50.7713,1009.34,57.16,433.523
11.1677,52.05,156.4319,71.63,452.6861
26.64,69.13,1010.6,79.23,435.2946
9.78,52.75,94.3973,25.6052,462.7853
18.58,56.4946,1016.24,78.74,459.4448
