0.01,18.0,2.31,0,0.54,6.58,50.27,5.86,1.0,296.0,17.67,396.9,4.98,24.0
0.07,15.43,3.53,0,0.47,7.18,61.1,4.97,2.0,232.86,17.8,392.83,4.03,34.7
0.07,0.0,2.18,0,0.46,7.15,43.94,6.06,3.0,222.0,18.07,396.9,6.66,36.2
0.14,12.5,7.87,0,0.52,6.07,96.1,3.54,5.0,311.0,15.2,396.9,19.15,27.1
0.21,12.5,7.87,0,0.48,5.63,47.0,6.08,5.02,311.0,16.85,386.63,29.93,16.5
0.29,12.5,7.87,0,0.52,6.0,83.18,3.51,5.0,311.0,15.2,386.71,15.51,18.9
0.22,12.5,7.48,0,0.52,6.38,94.3,3.44,5.0,317.41,15.2,392.52,20.45,15.0
0.12,12.5,7.87,0,0.52,6.08,82.9,3.42,5.0,311.0,15.2,396.9,13.27,18.9
0.21,12.5,8.32,0,0.52,5.89,39.0,4.71,5.06,311.0,17.47,392.72,15.71,21.7
0.63,0.0,9.5,0,0.54,5.97,61.8,3.96,3.78,307.0,21.0,396.9,13.13,20.4
0.69,0.82,8.97,0,0.53,6.1,58.74,4.46,4.0,307.0,21.0,380.02,10.26,18.2
0.63,1.21,8.14,0,0.54,5.83,56.5,4.5,3.97,307.0,21.0,395.62,14.68,19.9
1.05,0.0,9.31,0,0.54,5.94,29.3,4.2,4.0,302.76,21.0,382.57,12.75,23.1
0.78,0.0,8.14,0,0.54,5.99,81.7,4.26,4.28,307.0,20.94,390.74,14.67,17.5
0.73,0.0,8.85,0,0.54,6.08,69.5,3.8,3.86,307.0,21.0,390.95,11.28,18.2
0.75,0.46,8.47,0,0.54,5.97,89.2,4.01,4.03,307.0,21.0,392.53,13.83,19.6
1.23,0.0,8.14,0,0.54,5.97,91.7,3.98,4.4,307.0,20.75,372.17,18.72,15.2
0.99,0.5,8.14,0,0.54,5.81,100.0,4.1,4.07,307.0,21.0,394.54,19.88,14.5
0.75,0.0,8.14,0,0.54,5.97,94.1,4.4,4.0,307.0,21.0,394.33,17.0,15.6
0.7,1.51,8.14,0,0.53,5.93,57.54,4.68,4.0,307.0,21.0,376.88,13.24,16.6
0.96,0.06,8.14,0,0.54,6.05,88.8,3.99,4.0,307.0,21.0,390.02,17.28,14.8
1.35,0.0,9.4,0,0.54,5.98,55.16,4.18,4.0,307.54,21.0,376.73,13.04,14.5
1.03,0.0,8.14,0,0.54,6.0,95.0,3.79,4.3,307.0,20.66,381.76,17.32,13.1
1.51,0.0,8.14,0,0.54,6.1,96.9,3.81,4.0,307.0,21.0,248.31,20.34,13.5
0.06,0.0,5.96,0,0.5,5.93,68.2,3.36,5.0,279.0,18.37,396.9,9.68,18.9
0.08,0.0,5.96,0,0.47,5.85,41.5,5.11,5.0,279.0,19.2,396.9,10.93,21.0
0.18,0.0,9.09,0,0.5,5.97,30.2,3.85,5.0,316.98,18.65,392.29,10.13,24.7
0.03,75.0,2.95,0,0.43,7.07,21.8,6.22,3.0,252.0,18.3,395.63,3.63,30.8
0.03,75.0,3.52,0,0.43,7.02,15.8,5.4,3.46,252.0,18.3,391.56,1.98,34.9
0.13,20.96,6.91,0,0.45,6.77,30.66,5.42,3.0,267.84,17.32,385.41,4.84,26.6
0.13,0.0,6.91,0,0.45,6.17,6.6,5.16,3.4,233.0,17.9,383.37,9.72,25.3
0.12,0.0,5.41,0,0.46,6.07,40.0,5.11,3.0,233.0,17.9,389.39,9.55,21.2
0.14,8.57,6.91,0,0.46,5.93,40.3,5.1,3.0,233.0,17.9,396.9,13.14,19.3
0.23,0.0,6.91,0,0.49,6.03,72.22,3.51,3.0,233.0,17.9,392.74,18.8,16.6
0.25,6.81,6.91,0,0.48,5.4,49.94,5.87,3.0,258.36,17.9,396.9,30.81,14.4
0.17,0.0,6.93,0,0.45,5.6,62.0,4.51,3.48,233.0,17.9,396.9,16.2,19.4
0.08,17.97,5.64,0,0.44,5.96,45.7,6.81,4.2,271.3,18.36,395.56,13.45,19.7
0.04,21.0,5.64,0,0.44,6.12,63.0,6.81,3.88,243.0,18.01,393.97,9.43,20.5
0.08,21.0,5.64,0,0.44,6.0,21.4,6.81,4.0,288.92,16.8,396.9,8.43,23.4
0.01,16.1,4.0,0,0.48,6.24,47.6,7.32,3.0,260.77,21.1,396.9,14.8,18.9
0.01,90.0,1.22,0,0.4,7.25,21.9,8.7,5.0,226.0,17.9,395.93,5.17,35.4
0.02,85.0,3.02,0,0.42,7.15,35.7,6.58,2.0,276.56,17.09,396.9,4.69,24.7
0.1,25.0,5.13,0,0.45,6.14,42.11,7.81,8.0,284.0,19.7,390.68,6.86,23.3
0.1,25.0,5.13,0,0.45,5.93,44.43,6.59,8.0,284.0,18.78,396.9,9.22,19.6
0.15,25.0,6.04,0,0.45,5.74,66.2,7.23,8.0,295.74,18.04,390.28,13.15,18.7
0.11,25.0,5.13,0,0.45,6.46,41.09,7.23,8.0,284.0,19.7,391.87,6.73,22.2
0.02,17.5,1.38,0,0.42,7.1,34.79,9.22,3.0,216.0,18.6,378.97,5.34,33.0
0.08,80.0,3.37,0,0.4,5.79,31.1,6.61,4.0,337.0,16.35,383.58,10.24,19.4
0.06,12.5,5.63,0,0.41,6.25,21.4,5.67,4.0,279.73,18.9,389.24,8.1,22.0
0.14,12.5,6.07,0,0.46,6.01,36.8,5.06,3.88,245.26,18.9,396.9,13.09,17.4
0.09,0.0,10.81,0,0.41,6.42,29.33,5.29,4.0,305.0,18.49,383.73,6.72,24.2
0.09,0.0,10.81,0,0.41,6.06,33.13,5.36,4.0,305.0,19.2,387.97,5.52,22.8
0.15,7.34,10.81,0,0.41,6.24,6.2,5.29,4.0,303.5,19.2,377.17,7.54,23.4
0.08,5.26,12.83,0,0.47,6.27,50.25,4.25,5.0,398.0,18.7,394.92,6.78,24.1
0.08,2.54,12.83,0,0.44,6.23,45.0,4.84,4.78,398.0,18.7,393.03,8.94,21.4
0.1,0.0,9.63,0,0.44,6.28,74.5,4.05,5.0,347.37,18.45,393.86,9.64,20.0
0.06,0.0,12.83,0,0.44,6.21,53.7,5.01,4.81,398.0,18.7,386.4,9.72,21.2
0.09,0.0,12.83,0,0.44,6.23,49.86,4.82,4.86,398.0,18.7,396.06,8.5,20.3
0.04,25.0,4.86,0,0.44,6.63,33.5,5.4,4.15,277.08,19.0,392.45,5.29,28.0
0.04,20.61,4.56,0,0.45,6.62,38.56,5.4,4.0,281.0,19.0,395.63,7.23,23.9
0.05,25.0,4.86,0,0.44,6.3,32.2,5.4,4.0,281.0,18.53,392.16,6.72,24.8
0.04,25.0,4.86,0,0.43,6.38,46.7,6.07,4.0,281.0,18.61,390.64,7.51,22.9
0.05,0.0,5.47,0,0.47,6.05,46.42,4.78,3.0,237.6,18.5,396.9,9.62,23.9
0.06,17.36,4.49,0,0.45,6.63,56.1,4.44,4.23,260.94,18.5,392.3,6.53,26.6
0.05,0.0,4.49,0,0.45,6.02,45.1,5.22,3.0,247.0,18.5,392.89,12.86,22.5
0.07,5.64,4.49,0,0.47,6.12,56.8,3.75,4.26,247.0,18.5,395.15,8.44,22.2
0.13,0.0,5.37,0,0.49,6.09,63.1,3.41,2.0,270.0,17.8,389.71,11.53,28.7
0.15,0.0,3.41,0,0.49,6.09,66.1,3.09,2.0,248.88,17.8,391.22,11.35,22.6
0.19,8.63,15.04,0,0.46,6.21,28.9,3.67,3.88,270.0,18.2,390.28,6.21,25.0
0.24,0.0,2.89,0,0.44,6.62,32.7,5.32,2.0,276.0,18.0,357.98,6.65,28.4
0.09,0.0,2.89,0,0.44,6.16,50.46,3.5,3.26,276.0,18.0,391.83,11.34,21.4
0.12,14.78,2.89,0,0.44,8.07,55.03,3.5,3.82,276.0,18.0,396.9,4.21,38.7
0.08,0.0,2.89,0,0.44,6.61,36.9,3.5,3.4,276.0,17.81,393.53,7.21,43.8
0.07,12.6,2.89,0,0.44,7.42,62.5,3.5,3.66,276.0,18.0,393.44,5.54,33.2
0.15,0.0,8.65,0,0.52,6.73,79.9,2.78,5.0,373.84,20.9,394.76,9.67,27.5
0.11,0.0,8.56,0,0.51,6.78,71.3,3.11,5.08,384.0,20.9,395.58,7.67,26.5
0.21,0.0,8.56,0,0.52,6.14,83.48,2.83,5.0,384.0,20.9,394.47,12.36,19.3
0.2,0.0,8.56,0,0.52,6.17,81.01,2.42,5.0,384.0,20.9,392.69,12.33,20.1
0.13,0.72,8.56,0,0.53,5.85,81.29,3.09,5.0,384.0,20.9,394.05,14.05,19.5
0.17,0.0,8.56,0,0.52,5.84,91.9,3.53,5.0,330.14,19.34,395.67,18.66,19.5
0.13,0.0,18.63,0,0.61,6.13,85.2,2.12,6.85,384.0,20.9,387.69,12.67,20.4
