7.366,0.42,0.09,2.3,0.054,34.0,50.7869,0.9973,3.3187,0.68,10.4,5.503
7.3,0.59,0.26,2.0,0.08,17.0,104.0,0.9958,3.28,0.6576,10.2243,5.3958
7.8,0.64,0.2095,6.0,0.0892,5.0,48.503,0.9978,3.37,0.7184,10.1,5.4616
8.1384,0.44,0.47,2.5,0.0733,9.0,32.8248,0.9981,3.2496,0.65,10.8,6.2823
6.8,0.775,0.0,1.7897,0.102,8.0,23.0,0.9962,3.45,0.56,10.7,5.2899
8.029,0.23,0.4,1.6,0.0741,21.0,67.0,0.997,3.2878,0.63,11.1,5.5585
7.6,0.6304,0.0,2.3753,0.076,33.0,45.0,0.9963,3.31,0.62,10.7,5.8693
7.8,0.63,0.2301,1.7,0.1,14.0,63.9427,0.9961,3.3492,0.62,9.5,5.199
8.8,0.61,0.2753,2.8,0.088,17.7505,46.0,0.9976,3.26,0.51,10.6731,5.1706
7.5,0.49,0.2073,2.6,0.332,13.2282,14.0,0.9967,3.21,0.9,10.5,6.1594
7.4,0.785,0.19,2.3697,0.0855,19.0,98.0,0.9971,3.2812,0.6597,9.6,5.3621
7.4774,0.4,0.52,2.0,0.0458,19.3638,54.0,0.997,3.03,0.66,10.2,5.5964
7.1,0.715,0.0,2.35,0.071,21.0,44.0203,0.9963,3.29,0.6765,10.5753,5.8298
7.1,0.755,0.15,2.3791,0.0846,20.0,84.0,0.9959,3.19,0.5517,10.7529,6.0193
7.6053,0.5036,0.24,2.2089,0.077,18.0,34.0,0.9948,3.3293,0.6,10.0861,5.8368
7.3832,0.5648,0.12,1.9,0.091,16.0458,50.5927,0.9956,3.44,0.48,9.967,5.3653
5.1,0.42,0.0,2.006,0.044,18.0,88.0,0.9966,3.2329,0.73,13.6,6.1047
7.5,0.58,0.56,3.1,0.153,5.0,54.9346,0.9948,3.21,1.03,11.6,6.4055
8.5,0.5887,0.56,2.4164,0.0869,35.0,65.3386,0.9968,3.2822,0.75,10.5,6.1555
7.9358,0.545,0.06,2.7008,0.087,16.8444,55.6489,0.9965,3.36,0.6728,10.2137,5.5044
8.0379,0.42,0.3308,3.3,0.105,33.0,98.0,1.001,3.2,0.95,9.2,4.9196
7.6173,0.4647,0.2258,2.7,0.077,15.5896,38.67,0.9975,3.3115,0.54,9.6597,5.1305
6.9,0.5435,0.11,2.4902,0.043,6.0,12.0,0.9935,3.3,0.65,10.6399,6.4823
7.1,0.5319,0.0,2.3,0.087,17.7129,56.2315,0.9978,3.45,0.53,9.9472,4.7287
7.5,0.685,0.07,2.5,0.058,5.0,30.9504,0.9965,3.38,0.55,10.9,5.188
7.3,0.48,0.2686,2.5884,0.062,31.0,54.0,0.9973,3.3,0.65,10.2767,5.4573
7.6,0.41,0.3537,1.4294,0.08,4.0,37.5258,0.9962,3.28,0.59,9.5,5.3821
11.2,0.618,0.55,2.3,0.084,6.0,13.0,1.0,3.17,0.71,9.5,5.5402
7.9,0.52,0.2216,1.9,0.079,42.0,140.0,0.9964,3.3894,0.54,9.5,5.5263
7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.7487,10.7,5.4469
8.0011,0.71,0.2591,1.6,0.092,22.0,47.1629,0.9963,3.2546,0.58,10.0,4.7535
7.2,0.5609,0.44,2.6,0.066,22.0,73.5876,0.9949,3.2191,0.84,10.6937,6.261
8.0,0.4961,0.34,2.2,0.073,16.0,25.0,0.997,3.28,0.66,10.3075,5.3205
5.6,0.66,0.0,2.5,0.066,7.0,15.0,0.9926,3.52,0.58,10.1953,5.4056
7.9399,0.5533,0.186,3.2686,0.071,17.0,65.0,0.9993,3.22,0.78,10.1,5.5637
7.2,0.835,0.0,2.0,0.166,4.0,11.0,0.9961,3.39,0.52,10.0,4.8635
7.7951,0.4866,0.2578,2.2086,0.0727,18.2274,17.0,0.9972,3.32,0.7015,10.2666,5.7097
6.8,0.68,0.21,2.4104,0.07,9.0,57.0302,0.9955,3.38,0.6,10.8095,5.6056
6.9617,0.5768,0.26,2.0,0.08,31.0,66.4936,0.9962,3.2472,0.52,9.9,5.1464
7.9,0.29,0.1573,2.2,0.1038,13.11,59.0,0.9971,3.31,0.67,10.9832,5.6225
8.0281,0.5314,0.2214,2.3,0.063,15.3974,19.0,0.9965,3.17,0.81,11.2,6.2285
8.2,0.4146,0.09,2.0,0.0745,13.3597,10.0,0.9942,3.28,0.6699,11.8,6.6215
10.5,0.5953,0.2417,2.1,0.1201,6.0,24.0,0.9978,3.3285,0.9,11.0,6.1536
7.9483,0.35,0.2308,2.0,0.067,28.0,48.0,0.9963,3.43,0.54,10.8375,5.4783
